stockCode,stockNameEn,stockNameZh
00163,EMPEROR INT'L,英皇國際
00164,CHINA BAOLI TEC,中國寶力科技
00165,CHINA EB LTD,中國光大控股
00166,NEWTIMES ENERGY,新時代能源
00167,IDT INT'L,IDT INT'L
00168,TSINGTAO BREW,青島啤酒股份
00169,WANDA HOTEL DEV,萬達酒店發展
00171,SILVER GRANT,銀建國際
00172,GOLDBOND GROUP,金榜集團
00173,K. WAH INT'L,嘉華國際
00174,GEMINI INV,盛洋投資
00175,GEELY AUTO,吉利汽車
00176,UNITED PACIFIC,聯太工業
00177,JIANGSU EXPRESS,江蘇寧滬高速公路
00178,SA SA INT'L,莎莎國際
00179,JOHNSON ELEC H,德昌電機控股
00180,KADER HOLDINGS,開達集團
00181,FUJIAN HOLDINGS,閩港控股
00182,CONCORD NE,協合新能源
00183,WINFULL GP,宏輝集團
00184,KECK SENG INV,激成投資
00185,ZH INT'L HOLD,正恒國際控股
00186,GRANDE HOLDINGS,GRANDE HOLDINGS
00187,JINGCHENG MAC,京城機電股份
00188,SUNWAH KINGSWAY,新華匯富金融
00189,DONGYUE GROUP,東岳集團
00190,HKC (HOLDINGS),香港建設（控股）
00191,LAI SUN INT'L,麗新國際
00193,CAPITAL ESTATE,冠中地產
00194,LIU CHONG HING,廖創興企業
00195,L'SEA RESOURCES,利海資源
00196,HONGHUA GROUP,宏華集團
00197,HENG TAI,亨泰
00198,SMI HOLDINGS,星美控股
00199,ITC PROPERTIES,德祥地產
00200,MELCO INT'L DEV,新濠國際發展
00201,MAGNIFICENT,華大酒店
00202,EVERCHINA INT'L,潤中國際控股
00205,SEEC MEDIA,財訊傳媒
00206,TSC GROUP,ＴＳＣ集團
00207,JOY CITY PPT,大悅城地產
00208,POLYTEC ASSET,保利達資產
00209,WINSHINE SCI,瀛晟科學
00210,DAPHNE INT'L,達芙妮國際
00211,STYLAND HOLD,STYLAND HOLD
00212,NANYANG HOLD,NANYANG HOLD
00213,NATIONAL ELEC H,NATIONAL ELEC H
00214,ASIA ORIENT,匯漢控股
00215,HUTCHTEL HK,和記電訊香港
00216,CHINNEY INV,建業實業
00217,CHINA CHENGTONG,中國誠通發展集團
00218,SHENWANHONGYUAN,申萬宏源
00219,SHUNHO PROPERTY,順豪物業
00220,U-PRESID CHINA,統一企業中國
00221,EASY ONE FIN,易易壹金融
00222,MIN XIN HOLD,閩信集團
00223,ELIFE HLDGS,易生活控股
00224,PIONEER GLOBAL,建生國際
00225,POKFULAM,博富臨置業
00226,LIPPO,力寶
00227,FIRST SHANGHAI,第一上海
00228,CHINA ENERGY,中能控股
00229,RAYMOND IND,利民實業
00230,MINMETALS LAND,五礦地產
00231,PING AN SEC GP,平安證券集團控股
